city,date,mean_pm25
Halifax,2002-06-11,1.375
Halifax,2002-06-12,1.4583333333333333
Halifax,2002-06-13,3.25
Halifax,2002-06-14,3.608695652173913
Halifax,2002-06-15,0.0625
Halifax,2002-06-16,0.5
Halifax,2002-06-17,3.5416666666666665
Halifax,2002-06-18,2.5416666666666665
Halifax,2002-06-19,4.833333333333333
Halifax,2002-06-20,5.583333333333333
Halifax,2002-06-21,5.541666666666667
Halifax,2002-06-22,9.333333333333334
Halifax,2002-06-23,4.166666666666667
Halifax,2002-06-24,4.416666666666667
Halifax,2002-06-25,2.5416666666666665
Halifax,2002-06-26,6.125
Halifax,2002-06-27,11.875
Halifax,2002-06-28,8.708333333333334
Halifax,2002-06-29,5.166666666666667
Halifax,2002-06-30,3.625
Halifax,2002-07-01,4.125
Halifax,2002-07-02,3.5
Halifax,2002-07-03,12.416666666666666
Halifax,2002-07-04,17.0
Halifax,2002-07-05,14.625
Halifax,2002-07-06,7.958333333333333
Halifax,2002-07-07,8.692307692307692
Halifax,2002-07-08,
Halifax,2002-07-09,
Halifax,2002-07-10,
Halifax,2002-07-11,1.4285714285714286
Halifax,2002-07-12,23.083333333333332
Halifax,2002-07-13,14.208333333333334
Halifax,2002-07-14,6.958333333333333
Halifax,2002-07-15,2.75
Halifax,2002-07-16,0.75
Halifax,2002-07-17,2.625
Halifax,2002-07-18,5.791666666666667
Halifax,2002-07-19,4.916666666666667
Halifax,2002-07-20,2.2083333333333335
Halifax,2002-07-21,2.3333333333333335
Halifax,2002-07-22,4.541666666666667
Halifax,2002-07-23,13.375
Halifax,2002-07-24,2.0
Halifax,2002-07-25,1.125
Halifax,2002-07-26,2.4166666666666665
Halifax,2002-07-27,2.2916666666666665
Halifax,2002-07-28,4.375
Halifax,2002-07-29,3.5833333333333335
Halifax,2002-07-30,5.583333333333333
Halifax,2002-07-31,6.333333333333333
Halifax,2002-08-01,
Halifax,2002-08-02,2.3125
Halifax,2002-08-03,2.875
Halifax,2002-08-04,6.916666666666667
Halifax,2002-08-05,9.375
Halifax,2002-08-06,3.0416666666666665
Halifax,2002-08-07,2.4166666666666665
Halifax,2002-08-08,3.5
