city,date,mean_pm25
Charlottetown,2003-09-30,3.5416666666666665
Charlottetown,2003-10-01,1.7083333333333333
Charlottetown,2003-10-02,2.0416666666666665
Charlottetown,2003-10-03,0.6666666666666666
Charlottetown,2003-10-04,2.2083333333333335
Charlottetown,2003-10-05,2.5416666666666665
Charlottetown,2003-10-06,3.5789473684210527
Charlottetown,2003-10-07,5.0
Charlottetown,2003-10-08,12.625
Charlottetown,2003-10-09,17.291666666666668
Charlottetown,2003-10-10,20.333333333333332
Charlottetown,2003-10-11,23.541666666666668
Charlottetown,2003-10-12,12.333333333333334
Charlottetown,2003-10-13,3.5416666666666665
Charlottetown,2003-10-14,2.4166666666666665
Charlottetown,2003-10-15,1.5
Charlottetown,2003-10-16,2.5833333333333335
Charlottetown,2003-10-17,3.3333333333333335
Charlottetown,2003-10-18,3.75
Charlottetown,2003-10-19,5.041666666666667
Charlottetown,2003-10-20,3.75
Charlottetown,2003-10-21,1.9583333333333333
Charlottetown,2003-10-22,1.3333333333333333
Charlottetown,2003-10-23,0.4583333333333333
Charlottetown,2003-10-24,1.9583333333333333
Charlottetown,2003-10-25,5.041666666666667
Charlottetown,2003-10-26,8.666666666666666
Charlottetown,2003-10-27,4.416666666666667
Charlottetown,2003-10-28,3.9583333333333335
Charlottetown,2003-10-29,6.166666666666667
Charlottetown,2003-10-30,4.958333333333333
Charlottetown,2003-10-31,8.875
Charlottetown,2003-11-01,11.708333333333334
Charlottetown,2003-11-02,5.333333333333333
Charlottetown,2003-11-03,10.041666666666666
Charlottetown,2003-11-04,1.6666666666666667
Charlottetown,2003-11-05,8.318181818181818
Charlottetown,2003-11-06,7.041666666666667
Charlottetown,2003-11-07,6.041666666666667
Charlottetown,2003-11-08,3.1666666666666665
Charlottetown,2003-11-09,3.1666666666666665
Charlottetown,2003-11-10,6.375
Charlottetown,2003-11-11,5.458333333333333
Charlottetown,2003-11-12,8.458333333333334
Charlottetown,2003-11-13,1.5
Charlottetown,2003-11-14,1.4166666666666667
Charlottetown,2003-11-15,2.875
Charlottetown,2003-11-16,6.25
Charlottetown,2003-11-17,15.375
Charlottetown,2003-11-18,12.583333333333334
Charlottetown,2003-11-19,1.7916666666666667
Charlottetown,2003-11-20,3.2083333333333335
Charlottetown,2003-11-21,10.375
Charlottetown,2003-11-22,7.375
Charlottetown,2003-11-23,8.5
Charlottetown,2003-11-24,7.958333333333333
Charlottetown,2003-11-25,3.3333333333333335
Charlottetown,2003-11-26,5.541666666666667
Charlottetown,2003-11-27,13.75
Charlottetown,2003-11-28,7.791666666666667
Charlottetown,2003-11-29,1.5833333333333333
Charlottetown,2003-11-30,7.958333333333333
Charlottetown,2003-12-01,1.3333333333333333
Charlottetown,2003-12-02,1.6818181818181819
Charlottetown,2003-12-03,2.7916666666666665
Charlottetown,2003-12-04,3.9583333333333335
Charlottetown,2003-12-05,4.708333333333333
Charlottetown,2003-12-06,3.4166666666666665
Charlottetown,2003-12-07,1.5
Charlottetown,2003-12-08,7.458333333333333
Charlottetown,2003-12-09,17.416666666666668
Charlottetown,2003-12-10,19.166666666666668
Charlottetown,2003-12-11,2.625
Charlottetown,2003-12-12,1.3333333333333333
Charlottetown,2003-12-13,3.4166666666666665
Charlottetown,2003-12-14,2.2083333333333335
Charlottetown,2003-12-15,3.9166666666666665
Charlottetown,2003-12-16,7.375
Charlottetown,2003-12-17,11.958333333333334
Charlottetown,2003-12-18,1.2083333333333333
Charlottetown,2003-12-19,2.7916666666666665
Charlottetown,2003-12-20,4.625
Charlottetown,2003-12-21,3.2916666666666665
Charlottetown,2003-12-22,6.541666666666667
Charlottetown,2003-12-23,19.0
Charlottetown,2003-12-24,12.416666666666666
Charlottetown,2003-12-25,0.8333333333333334
Charlottetown,2003-12-26,1.4166666666666667
Charlottetown,2003-12-27,4.333333333333333
Charlottetown,2003-12-28,15.666666666666666
Charlottetown,2003-12-29,35.666666666666664
Charlottetown,2003-12-30,9.875
Charlottetown,2003-12-31,1.1666666666666667
Charlottetown,2004-01-01,1.5833333333333333
Charlottetown,2004-01-02,4.916666666666667
Charlottetown,2004-01-03,10.458333333333334
Charlottetown,2004-01-04,1.75
Charlottetown,2004-01-05,3.4583333333333335
Charlottetown,2004-01-06,1.8333333333333333
Charlottetown,2004-01-07,1.3333333333333333
Charlottetown,2004-01-08,1.7916666666666667
Charlottetown,2004-01-09,1.5833333333333333
Charlottetown,2004-01-10,1.75
Charlottetown,2004-01-11,3.125
Charlottetown,2004-01-12,13.958333333333334
Charlottetown,2004-01-13,3.7083333333333335
Charlottetown,2004-01-14,3.5
Charlottetown,2004-01-15,2.9583333333333335
Charlottetown,2004-01-16,1.25
Charlottetown,2004-01-17,2.75
Charlottetown,2004-01-18,5.541666666666667
Charlottetown,2004-01-19,0.9565217391304348
Charlottetown,2004-01-20,1.9583333333333333
Charlottetown,2004-01-21,3.0
Charlottetown,2004-01-22,3.5
Charlottetown,2004-01-23,2.7083333333333335
Charlottetown,2004-01-24,3.0833333333333335
Charlottetown,2004-01-25,6.208333333333333
Charlottetown,2004-01-26,7.0
Charlottetown,2004-01-27,4.083333333333333
Charlottetown,2004-01-28,8.083333333333334
Charlottetown,2004-01-29,1.2916666666666667
Charlottetown,2004-01-30,2.3333333333333335
Charlottetown,2004-01-31,3.5416666666666665
Charlottetown,2004-02-01,4.833333333333333
Charlottetown,2004-02-02,9.041666666666666
Charlottetown,2004-02-03,19.541666666666668
Charlottetown,2004-02-04,6.666666666666667
Charlottetown,2004-02-05,2.6666666666666665
Charlottetown,2004-02-06,4.583333333333333
Charlottetown,2004-02-07,4.541666666666667
Charlottetown,2004-02-08,3.1666666666666665
Charlottetown,2004-02-09,7.125
Charlottetown,2004-02-10,9.041666666666666
Charlottetown,2004-02-11,2.9583333333333335
Charlottetown,2004-02-12,5.277777777777778
Charlottetown,2004-02-13,11.416666666666666
Charlottetown,2004-02-14,7.041666666666667
Charlottetown,2004-02-15,2.6666666666666665
Charlottetown,2004-02-16,7.333333333333333
Charlottetown,2004-02-17,14.458333333333334
Charlottetown,2004-02-18,26.208333333333332
Charlottetown,2004-02-19,13.916666666666666
Charlottetown,2004-02-20,11.916666666666666
Charlottetown,2004-02-21,5.5
Charlottetown,2004-02-22,1.1666666666666667
Charlottetown,2004-02-23,3.5416666666666665
Charlottetown,2004-02-24,4.5
Charlottetown,2004-02-25,4.041666666666667
Charlottetown,2004-02-26,6.375
Charlottetown,2004-02-27,12.958333333333334
Charlottetown,2004-02-28,5.708333333333333
Charlottetown,2004-02-29,15.25
Charlottetown,2004-03-01,20.458333333333332
Charlottetown,2004-03-02,10.125
Charlottetown,2004-03-03,1.2916666666666667
Charlottetown,2004-03-04,14.083333333333334
Charlottetown,2004-03-05,9.375
Charlottetown,2004-03-06,3.6666666666666665
Charlottetown,2004-03-07,0.875
Charlottetown,2004-03-08,4.25
Charlottetown,2004-03-09,5.375
Charlottetown,2004-03-10,10.5
Charlottetown,2004-03-11,10.458333333333334
Charlottetown,2004-03-12,9.541666666666666
Charlottetown,2004-03-13,1.2916666666666667
Charlottetown,2004-03-14,2.1666666666666665
Charlottetown,2004-03-15,3.9166666666666665
Charlottetown,2004-03-16,1.0416666666666667
Charlottetown,2004-03-17,2.9166666666666665
Charlottetown,2004-03-18,8.545454545454545
Charlottetown,2004-03-19,9.791666666666666
Charlottetown,2004-03-20,5.375
Charlottetown,2004-03-21,5.958333333333333
Charlottetown,2004-03-22,2.6666666666666665
Charlottetown,2004-03-23,4.916666666666667
Charlottetown,2004-03-24,7.041666666666667
Charlottetown,2004-03-25,13.666666666666666
Charlottetown,2004-03-26,15.0
Charlottetown,2004-03-27,4.791666666666667
Charlottetown,2004-03-28,4.25
Charlottetown,2004-03-29,7.25
Charlottetown,2004-03-30,9.541666666666666
Charlottetown,2004-03-31,11.541666666666666
Charlottetown,2004-04-01,5.958333333333333
Charlottetown,2004-04-02,3.7916666666666665
Charlottetown,2004-04-03,5.166666666666667
Charlottetown,2004-04-04,0.8260869565217391
Charlottetown,2004-04-05,0.5416666666666666
Charlottetown,2004-04-06,2.1666666666666665
Charlottetown,2004-04-07,5.083333333333333
Charlottetown,2004-04-08,8.75
Charlottetown,2004-04-09,1.8333333333333333
Charlottetown,2004-04-10,2.125
Charlottetown,2004-04-11,4.041666666666667
Charlottetown,2004-04-12,6.541666666666667
Charlottetown,2004-04-13,2.0
Charlottetown,2004-04-14,2.7083333333333335
Charlottetown,2004-04-15,2.7916666666666665
Charlottetown,2004-04-16,5.25
Charlottetown,2004-04-17,11.375
Charlottetown,2004-04-18,8.916666666666666
Charlottetown,2004-04-19,11.083333333333334
Charlottetown,2004-04-20,1.7916666666666667
Charlottetown,2004-04-21,6.458333333333333
Charlottetown,2004-04-22,5.541666666666667
Charlottetown,2004-04-23,2.875
Charlottetown,2004-04-24,2.875
Charlottetown,2004-04-25,3.0416666666666665
Charlottetown,2004-04-26,5.291666666666667
Charlottetown,2004-04-27,4.285714285714286
Charlottetown,2004-04-28,3.1666666666666665
Charlottetown,2004-04-29,8.625
Charlottetown,2004-04-30,18.25
Charlottetown,2004-05-01,20.583333333333332
Charlottetown,2004-05-02,2.2083333333333335
Charlottetown,2004-05-03,1.1304347826086956
Charlottetown,2004-05-04,2.2083333333333335
Charlottetown,2004-05-05,9.666666666666666
Charlottetown,2004-05-06,7.875
Charlottetown,2004-05-07,5.416666666666667
Charlottetown,2004-05-08,3.3333333333333335
Charlottetown,2004-05-09,6.375
Charlottetown,2004-05-10,11.541666666666666
Charlottetown,2004-05-11,8.333333333333334
Charlottetown,2004-05-12,7.75
Charlottetown,2004-05-13,9.375
Charlottetown,2004-05-14,19.666666666666668
Charlottetown,2004-05-15,9.208333333333334
Charlottetown,2004-05-16,2.375
Charlottetown,2004-05-17,4.833333333333333
Charlottetown,2004-05-18,14.875
Charlottetown,2004-05-19,4.25
Charlottetown,2004-05-20,9.833333333333334
Charlottetown,2004-05-21,4.333333333333333
Charlottetown,2004-05-22,4.625
Charlottetown,2004-05-23,7.416666666666667
Charlottetown,2004-05-24,1.5833333333333333
Charlottetown,2004-05-25,2.4166666666666665
Charlottetown,2004-05-26,9.368421052631579
Charlottetown,2004-05-27,8.791666666666666
Charlottetown,2004-05-28,6.25
Charlottetown,2004-05-29,2.25
Charlottetown,2004-05-30,2.7916666666666665
Charlottetown,2004-05-31,3.2083333333333335
Charlottetown,2004-06-01,5.916666666666667
Charlottetown,2004-06-02,2.1666666666666665
Charlottetown,2004-06-03,2.625
Charlottetown,2004-06-04,3.25
Charlottetown,2004-06-05,5.0
Charlottetown,2004-06-06,6.291666666666667
Charlottetown,2004-06-07,10.666666666666666
Charlottetown,2004-06-08,36.958333333333336
Charlottetown,2004-06-09,21.208333333333332
Charlottetown,2004-06-10,0.5416666666666666
