province,date,ab_size_ha
AB,2004-06-15,1.1189916551
AB,2004-07-15,1.00509446556
AB,2004-07-10,44.1639346588
AB,2004-10-09,1.8306414519
AB,2004-07-11,5.9783796403
AB,2004-05-19,10.8050168249
AB,2004-07-12,41.9187871029
AB,2004-06-03,1.3505981606
AB,2004-07-11,8.91128898726
AB,2004-07-15,4.1418211257
AB,2004-04-25,7.55787476523
AB,2004-07-19,0.92141924146
AB,2004-07-11,4.00508847991
AB,2004-07-17,51.3447417456
AB,2004-06-20,3.66637811794
AB,2004-07-11,3.5053647156
AB,2004-07-16,3.72191586904
AB,2004-06-30,1.3508000804
AB,2004-04-11,1.01165376922
AB,2004-07-21,4.30907289142
AB,2004-08-02,5.13831074244
AB,2004-07-11,3.08081385842
AB,2004-07-16,1.99818234716
AB,2004-06-30,4.0309587655
AB,2004-04-25,32.7871748879
AB,2004-07-11,11.5449292851
AB,2004-06-19,2.13989174424
AB,2004-05-11,3.1938821185
AB,2004-08-04,9.88987101485
AB,2004-07-11,1.0450266079
AB,2004-05-16,4.6020446693
AB,2004-07-01,5.43421266295
AB,2004-06-30,68.5814250537
AB,2004-05-18,2.8568686284
AB,2004-05-02,1.61173296259
AB,2004-06-20,1.83147338442
AB,2004-07-11,51.9883485762
AB,2004-04-11,13.3018128432
AB,2004-06-19,2.03278335998
AB,2004-06-16,2.67897540313
AB,2004-05-22,1.52086122651
AB,2004-07-11,3.94258081541
AB,2004-07-12,2.03611261702
AB,2004-05-02,1.04971651621
AB,2004-04-26,1.6041291271
AB,2004-04-29,12.203395308
AB,2004-07-01,19.2851109857
AB,2004-04-22,38.958413703
AB,2004-05-11,2.4999393092
AB,2004-04-20,1.2886850153
AB,2004-04-30,4.70495270244
AB,2004-06-30,2.68433218229
AB,2004-07-15,1.59529395875
AB,2004-07-16,1.06106117167
AB,2004-04-25,1.23530464145
AB,2004-04-23,0.322947673285
AB,2004-06-19,3.4426407133
AB,2004-07-01,1.83704113654
AB,2004-06-30,19.6934774031
AB,2004-05-02,0.238687453194
