province,date,bc_size_ha
BC,2000-04-17,71.8306968505
BC,2000-04-24,21.4216301695
BC,2000-07-23,18.0930438518
BC,2000-04-18,15.575724881
BC,2000-04-25,83.3327047177
BC,2000-04-29,68.2056027759
BC,2000-04-18,12.0435584301
BC,2000-08-10,191.543626572
BC,2000-03-17,49.4386618031
BC,2000-07-18,49.8294123237
BC,2000-04-25,116.337632356
BC,2000-05-14,14.9188416944
BC,2000-12-15,21.1718896421
BC,2000-06-26,29.9101400831
BC,2000-07-31,92.3809160486
BC,2000-08-21,35.2389675577
BC,2000-07-20,56.5596061489
BC,2000-08-03,95.063718712
BC,2000-08-11,301.519953464
BC,2000-08-11,84.8397417052
BC,,3.33057843234
BC,2000-07-22,265.902066131
BC,2000-08-18,59.8067645296
BC,,9.63467614082
BC,2000-10-08,3.68952969299
BC,2000-08-04,432.918934845
BC,,2.07106963393
BC,,2.16095583697
BC,,12.6987902152
BC,,7.9258157549
BC,2000-07-22,25.4882920482
BC,,19.4517687628
BC,2000-08-05,24.1271338921
BC,2000-06-27,420.00715536
BC,2001-07-10,661.842545823
BC,2001-07-05,227.706018868
BC,2001-05-23,69.5448196254
BC,2001-08-17,173.930984634
BC,2001-08-13,156.471733805
BC,2001-08-17,326.12137444
BC,2001-08-06,97.2268549494
BC,2001-08-17,1749.87593575
BC,2001-08-11,1576.01481535
BC,,7.11449733761
BC,2001-08-11,65.037235338
BC,2001-08-13,444.488857993
BC,,41.7933879454
BC,,1.4398589893
BC,2001-07-12,394.672600174
BC,2001-09-24,202.636742445
BC,,16.3905241116
BC,,4.95087617086
BC,,8.19623170283
BC,,7.65443049106
BC,,5.94370209973
BC,,5.73068427397
BC,,4.77297922785
BC,,3.87280000845
BC,2002-08-24,133.261055331
BC,2002-08-28,109.569156099
BC,2002-04-20,327.310128398
BC,2002-04-28,110.596002483
BC,,2.97020787573
BC,,3.1489204486
BC,,12.7851145603
BC,,4.6827755302
BC,,3.51179792729
BC,,5.67402588782
BC,2002-07-05,1161.29638181
BC,,1.08086458077
BC,,33.6869277181
BC,,6.66123278914
BC,,9.90705778118
BC,,7.96493193522
BC,2002-06-15,90.2306759111
BC,,16.2998538964
BC,,8.82673835122
BC,,4.68169969675
BC,,1.93509991751
BC,,37.5859100261
BC,2002-06-16,146.480715283
BC,,7.38439180348
BC,2002-06-22,64.1155708704
BC,2002-06-20,1777.43224551
BC,2002-06-21,813.889956248
BC,2003-08-07,1827.21328785
BC,2003-08-22,3173.44015113
BC,2003-08-15,10878.8068151
BC,2003-08-06,1524.50718855
BC,2003-08-08,1719.27392779
BC,2003-07-20,23796.520059
BC,2003-08-15,5220.60970328
BC,2003-08-09,155.233596927
BC,2003-07-31,10734.1783691
BC,2003-07-22,38.6029431473
BC,2003-07-26,778.481149839
BC,2003-08-09,242.211063845
BC,2003-08-16,25635.6659976
BC,2003-08-03,39.2949188933
BC,2003-08-08,1719.89760894
BC,2003-08-06,31.4764036923
BC,2003-07-21,1523.67567899
BC,2003-08-09,1218.49773384
BC,2003-08-29,131.02095748
BC,2003-07-30,27137.0899635
BC,2003-07-24,84.3692182989
BC,2003-08-10,1823.3132641
BC,2003-08-21,82.8242870616
BC,2003-08-13,2063.31124983
BC,2003-08-11,170.279872746
BC,2003-08-06,234.411907852
BC,2003-08-06,26.5992552878
BC,2003-08-13,81.2072373789
BC,2003-08-11,4.73929319419
BC,2003-08-06,9.43970748265
BC,2003-08-06,130.63267656
BC,2003-08-14,94.2802053555
BC,2003-08-10,3.77225397389
BC,2003-08-07,8.90732569
BC,2003-07-12,25.6399110509
BC,2003-07-03,21.3889627021
BC,2003-04-01,3.39092838206
BC,2003-05-21,1151.11438487
BC,2003-04-19,327.310128398
BC,2003-08-06,32.181737834
BC,2003-08-27,17.9294384457
BC,2003-07-31,69.4232263404
BC,2003-08-01,121.917980112
BC,2003-07-09,28.0322845101
BC,2003-08-08,12.2029553673
BC,2003-08-20,94.3137802782
BC,2003-08-08,184.174419592
BC,2003-08-01,6228.19242868
BC,2003-09-03,178.843423515
BC,2003-07-18,1744.66395546
BC,2003-08-09,722.095996704
BC,2003-08-12,222.036055443
BC,2003-07-26,155.34688785
BC,2003-10-02,110.214194088
BC,2003-08-07,202.612674554
BC,2003-08-15,77.496882493
BC,2003-08-01,510.73920816
BC,2003-08-12,712.833942581
BC,2003-08-13,427.469287975
BC,2003-08-09,211.958834256
BC,2003-08-13,3266.07308797
BC,2003-08-07,596.587853555
BC,2003-07-31,731.976531568
BC,2003-08-07,671.908767463
BC,2003-08-20,1178.67800268
BC,2003-08-01,1223.1404562
BC,2003-08-07,4313.02847621
BC,2003-08-09,644.712367777
BC,2003-08-06,1112.88209779
BC,2003-08-23,372.583142895
BC,2003-08-19,471.029972564
BC,2003-07-24,122.937375467
BC,2003-08-11,522.607423965
BC,2003-05-25,293.680746595
BC,2003-07-02,7.65030778006
BC,2003-07-17,8.36857254948
BC,2003-08-13,3219.36485592
BC,2003-08-09,631.00435866
BC,2003-08-07,189.128504095
BC,2003-08-07,8672.15509429
BC,2003-08-27,3191.18490535
BC,2003-08-09,6386.01125906
BC,2003-08-15,56.8350885881
BC,2003-08-01,22.2372628769
BC,2003-07-17,828.669725369
BC,2003-08-05,429.358744291
BC,2003-08-09,61.1588552394
BC,,3.24163281067
BC,,33.1230358087
BC,2003-09-07,505.122838132
BC,2003-08-06,176.174345637
BC,2003-08-10,5644.33305366
BC,,5.49024764317
BC,2003-07-30,2697.08116139
BC,,66.3821894065
BC,2003-08-07,3476.13943229
BC,2003-08-07,470.085686545
BC,2003-08-06,1523.8177569
BC,2003-08-07,669.684766656
BC,2003-08-06,419.380712024
BC,,25.2194047318
BC,2003-08-11,839.124429377
BC,2003-08-26,164.43977485
BC,2003-07-12,284.69505941
BC,2003-08-15,1669.9239685
BC,,12.3367842653
BC,,17.112807425
BC,2003-08-06,608.506785436
BC,2003-08-08,451.406942923
BC,,4.95289193742
BC,2003-08-16,69.1511993105
BC,2003-08-20,62.6876623481
BC,2003-08-23,51.6840335605
BC,2003-08-18,192.466735479
BC,2003-08-17,167.918754081
BC,2003-08-18,322.770183458
BC,2003-08-09,100.985410465
BC,2003-08-06,58.1580161724
BC,,58.3463315943
BC,,116.242062157
BC,,32.9402339418
BC,,63.83448985
BC,2003-06-28,73.9471506597
BC,2003-07-22,24360.8270789
BC,,37.0889898855
BC,,2.16082381434
BC,2003-06-29,205.136920758
BC,,7.74458363218
BC,,19.6323457524
BC,,2.43107609082
BC,,14.5902905919
BC,,10.1226114848
BC,2003-06-24,171.143496926
BC,,31.0727451128
BC,,12.2941878211
BC,,10.5862610572
BC,,2.43176148878
BC,,9.99643511867
BC,,62.9382464906
BC,2003-06-17,19.2752807439
BC,,13.5099392174
BC,,31.6142209024
BC,,32.5159884083
BC,2004-06-20,8125.15259537
BC,2004-08-01,498.375421954
BC,2004-06-21,21632.0628191
BC,2004-06-27,7696.7850993
BC,2004-06-23,19.6099969906
BC,2004-06-24,5624.22832097
BC,2004-06-27,1010.16062337
BC,2004-07-16,90.4180439468
BC,2004-08-03,30.8900406073
BC,2004-07-15,2570.70452335
BC,2004-08-01,1165.02391011
BC,2004-06-20,13219.8749937
BC,2004-06-21,24509.1510157
BC,2004-07-13,1664.13563835
BC,2004-06-23,774.392123998
BC,2004-06-23,1313.56495231
BC,2004-06-22,5271.83570197
BC,2004-06-20,46.9884667406
BC,2004-07-25,5448.7967079
BC,2004-06-18,32.3660549878
BC,2004-04-29,161.132032076
BC,2004-07-17,10708.9927591
BC,2004-09-27,40.3873256119
BC,2004-05-13,37.1649550409
BC,2004-06-21,81.8646160923
BC,2004-06-23,15.8025384055
BC,2004-06-23,1510.68441524
BC,2004-04-30,14.2260553734
BC,2004-06-18,23.7747502102
BC,2004-08-09,31.6121562674
BC,2004-06-23,74.9521133408
BC,2004-06-22,1991.55126797
BC,2004-06-26,122.787761143
BC,2004-08-19,35.0861258632
BC,2004-06-20,1086.47874912
BC,2004-08-19,785.861737155
BC,2004-07-26,187.716597207
BC,2004-06-22,392.533801572
BC,2004-07-28,638.877072382
BC,2004-06-20,500.166543055
BC,2004-06-21,320.626622655
BC,2004-08-14,522.788846835
BC,2004-08-14,821.613448007
BC,2004-06-24,734.096493385
BC,2004-07-30,455.021307603
BC,2004-06-18,109.899975781
BC,2004-06-23,426.44107817
BC,2004-06-23,18.3036970477
BC,2004-07-25,482.711905829
BC,2004-04-21,19.885437205
BC,2004-06-26,22907.333258
BC,2004-04-11,3.87085429624
BC,2004-06-20,22.1056759019
BC,2004-06-21,45.1452981974
BC,,66.3916747103
BC,2004-06-19,1145.40867153
BC,2004-07-10,16.7190839902
BC,2004-07-25,93.4867652786
BC,2004-06-20,70.5197230166
BC,2004-07-16,103.109973614
BC,2004-08-19,31.7235518414
BC,2004-04-20,125.482294861
BC,2004-07-01,189.588741
BC,2004-06-22,57.088137222
BC,2004-06-21,616.609355688
BC,2004-07-17,296.82246285
BC,2004-06-23,181.452280945
BC,,3.24166180433
BC,,7.92308864393
BC,,4.32185117434
BC,,6.66161330787
BC,2004-08-16,66.087933406
BC,,3.69130248354
BC,2004-08-17,157.66895835
BC,2004-08-14,465.358522134
BC,,26.293597019
BC,,6.93371014513
BC,2004-08-15,21.7929918581
BC,2004-08-14,92.9389158692
BC,2004-08-14,480.001379323
BC,,11.1583966585
BC,,7.02552945872
BC,2004-06-21,759.312453765
BC,2004-06-18,1185.8235302
BC,,5.85428958154
BC,2004-06-25,1959.25208841
BC,2004-07-30,46.7149473121
BC,,4.20938905958
BC,,27.509912905
BC,2004-08-12,5260.61752969
BC,,7.10978132705
BC,,3.42093442592
BC,,59.8764304692
BC,,2.25003125507
BC,2004-08-16,117.086588237
BC,2004-08-12,269.2637986
BC,,92.1727995497
BC,,23.8518763132
BC,2004-08-14,319.350000904
BC,,3.87177800063
BC,,12.6100348994
BC,2004-06-23,296.890718383
BC,2004-06-20,347.449593898
BC,,2.21367275439
BC,2004-06-23,44.4064974193
BC,2004-06-20,138.619971765
BC,,18.2845636919
BC,,3.69240017208
BC,,15.9375427839
BC,,6.03367358915
BC,,11.6140128066
BC,2004-06-03,19.8080847122
BC,,20.7992001707
BC,,6.48511644751
BC,,18.2762205671
BC,,4.17250468207
BC,,2.83448623525
BC,2004-06-22,227.850291746
BC,,39.8023583696
BC,,22.0676012472
BC,,1.62091960745
BC,,3.0615842653
BC,,13.4722109703
BC,,19.2127128177
BC,,6.39298733314
BC,,3.69253181113
BC,,5.22154591952
BC,,2.0715709697
BC,2004-06-27,3179.89623545
BC,2004-07-01,1230.27444223
BC,,3.69284678649
BC,2004-07-01,98.1721549173
BC,2004-06-20,5502.13907602
BC,2004-06-27,2133.075896
BC,2004-06-22,1139.72858699
BC,2004-06-20,5895.21606436
BC,2004-06-18,455.401751054
BC,2004-06-27,85.1053103053
BC,,12.7326914816
BC,2005-05-30,1009.32543991
BC,2005-08-10,503.601382336
BC,2005-08-10,269.589239299
BC,,9.07369381021
BC,2005-05-28,9437.01163403
BC,2005-04-20,22.359811002
BC,2005-05-30,35.0220382274
BC,2005-05-30,1486.36019928
BC,2005-05-31,66.5273253014
BC,2005-05-29,5843.5651549
BC,2005-08-01,3519.77167922
BC,2005-05-29,185.891858761
BC,2005-05-30,160.495260181
BC,2005-05-29,339.413292507
BC,2005-05-30,26.8023261941
BC,2005-05-30,164.955139038
BC,2005-05-29,104.472197643
BC,2005-05-01,0.989000403448
BC,2005-05-29,418.848971466
BC,2005-05-31,261.969060271
BC,2005-05-31,479.448165274
BC,2005-04-24,0.516742809763
BC,2005-04-23,0.797703107545
BC,2005-04-30,6.21312536292
BC,2005-04-24,3.16872818451
BC,2005-04-21,10.0572516676
BC,2005-05-10,26.0184592013
BC,2005-04-21,0.403646490112
BC,2005-04-28,2.08751201542
BC,2005-04-09,22.3393579194
BC,,22.3069295664
BC,2005-04-24,0.834562760865
BC,2005-05-11,105.47558352
BC,,35.6448618525
BC,2005-06-06,441.582216389
BC,2005-04-29,220.820707527
BC,2005-05-29,80.6715503763
BC,2005-05-29,436.894364446
BC,2005-04-06,3.66375880489
BC,2005-05-29,66.2840375062
BC,2005-05-29,63.0535888066
BC,2005-05-30,36.4857473869
BC,,1.04792964139
BC,,3.19647813125
BC,,9.27684182177
BC,,26.2064020767
BC,,7.36273835424
BC,,26.9358504377
BC,,12.0941865957
