province,date,mb_size_ha
MB,,1.25653937581
MB,,2.51948878097
MB,,3.14403260084
MB,,3.1479420511
MB,,2.40389256874
MB,,46.6976761173
MB,,8.238880405
MB,,8.87358263097
MB,,8.23730921809
MB,,4.4934476689
MB,,3.14539233368
MB,,1.22231311645
MB,,2.52080363024
MB,,1.25709321482
MB,,3.95197054364
MB,,27.7492297654
MB,,17.7082109928
MB,,3.14164044078
MB,,20.3800213853
MB,,25.0348835171
MB,,8.23834814301
MB,,34.3193347297
MB,,9.06670139807
MB,,17.9448604463
MB,,48.7555440642
MB,,76.6620561977
MB,,1.21931282736
MB,,2.52004890592
MB,,7.32452875353
MB,,62.3900331978
MB,,32.0143479082
MB,,26.0349646079
MB,,3.82889852621
MB,,1.25669787351
MB,,17.8483230729
MB,,44.2060758563
MB,,17.3829490777
MB,1999-04-29,740.211257536
MB,,54.2978441827
MB,,6.01200757733
MB,,110.295705288
MB,,791.066608616
MB,,13.6373109954
MB,,1.25241160502
MB,,3.32705135112
MB,,8.26034416965
MB,1999-04-30,201.727528851
MB,1999-05-01,159.46147779
MB,1999-07-23,19.1361555159
MB,1999-07-08,39.3211255044
MB,,3.15297246504
MB,,8.24388192276
MB,,1.21310028098
MB,,2.25624180676
MB,,1.75771111288
MB,,1.23548181619
MB,,2.52446940934
MB,,1.21362241809
MB,,7.9672784848
MB,,1.2145367935
MB,,6.0089660658
MB,,3.13695410753
MB,,1.02352501207
MB,,26.091276996
MB,,33.8281903082
MB,,319.315208611
MB,,44.7129592895
MB,,3.13893953716
MB,,1107.71351706
MB,1999-06-20,3826.51038593
MB,1999-04-30,1789.90513566
MB,,1.25577432333
MB,,11.9721156884
MB,,18.0847692187
MB,,180.860210482
MB,,115.404497219
MB,1999-05-02,1310.16799628
MB,,11.148272441
MB,,21.5874976699
MB,1999-06-20,12613.2321869
MB,,17.8128393626
MB,,59.3308298697
MB,,48.0885822441
MB,,96.4261724702
MB,,84.6757892478
MB,,10.1035202455
MB,,133.071036921
MB,,205.283078275
MB,,102.41578931
MB,,388.217229289
MB,,78.756787744
MB,,13.7873748242
MB,,536.310254713
MB,,487.660349082
MB,,429.225760283
MB,,1.25519852211
MB,,129.678423012
MB,,323.625601308
MB,,21.0046059849
MB,,500.414049791
MB,,50.7445470449
MB,,72.5502984649
MB,,17.8491900566
MB,,591.406125843
MB,,388.061327272
MB,,45.9424973798
MB,,10.8039869589
MB,,2513.9428097
MB,,1512.7406152
MB,1999-06-22,68.6719578636
MB,1999-08-25,1257.02899448
MB,1999-08-27,8669.79007557
MB,,4.8601036025
MB,1999-08-26,500.599772456
MB,,9.09364582177
MB,1999-06-03,2920.5616397
MB,,6.30441103739
MB,,60.8656362226
MB,,88.0003536109
MB,,74.0382538881
MB,,47.9797562895
MB,,3.06098946524
MB,,65.986956277
MB,,3.66274916822
MB,1999-09-03,153.752025728
MB,1999-08-29,309.665306897
MB,1999-08-30,52.5119789228
MB,1999-07-22,7.29436351839
MB,,13.8114910221
MB,1999-05-24,991.249013089
MB,,333.598159082
MB,1999-06-19,11183.3596261
MB,1999-06-20,1937.6827699
MB,1999-06-20,934.027469527
MB,1999-07-24,88.3653040209
MB,1999-06-19,2413.54027975
MB,1999-07-24,72.6839852117
MB,1999-07-23,26.116357819
MB,1999-07-24,1805.75496536
MB,1999-07-24,1488.33144401
MB,1999-07-12,98.3291973763
MB,1999-07-23,195.62701954
MB,1999-06-19,386.150884089
MB,1999-06-20,1823.70496972
